中	a
蓠	ceis
劳动纪律	cejp
葶	cekg
蓑	ceki
蒿	cekk
藁	cekm
荒凉	cele
劳动力	celg
萨	celp
蓄意	celr
某	cema
劳动模范	cemc
荒山	ceoa
芜	cepg
蓄积	cepm
芙	cera
劳动保险	cere
劳动量	cerh
萃	cero
某人	cerp
劳动人民	cerw
芸	cesa
茺	cese
蓄水	cesg
甘油	cesk
荒地	cetg
劳动者	cetp
荫	ceua
甘愿	cevb
荒原	cevb
芒	cewa
蕹	cewa
荒	cewg
蓄	cewt
甘心	cexd
荒谬	ceyw
芳	cf
芳	cfag
蔟	cffd
莓	cfma
蘩	cfmj
芳香	cfpm
菸	cfrd
节	cg
艺	cga
节	cgaa
芎	cgag
节点	cgah
蔗糖	cgbm
蔗	cgch
蒺藜	cgcp
荬	cgdd
苡	cgdr
节制	cgfh
节约	cgjd
勤工助学	cgkd
蒺	cgld
节目	cgma
艺术	cgmd
蘑	cgmo
蘼	cgms
节拍	cgob
艿	cgpa
节日	cgra
勤工俭学	cgrd
艺人	cgrp
节奏	cgsr
节能	cgsu
薄弱环节	cgwc
节省	cgxp
共	ch
廿	cha
艹	chaa
寸步	chaa
散步	chaa
蕻	chab
蔫	chah
世上	chah
共	chba
恭	chbd
荚	chbd
葬送	chbe
世道	chbh
巷道	chbh
莱	chbm
苹	chbo
巷	chbs
恭敬	chcd
茉莉	chcp
散落	chcs
勤劳	chct
黄色	chdb
黄豆	chdh
勤奋	chdt
苛刻	chew
惹事生非	chfa
散失	chfd
共生	chft
寸	chgd
荛	chge
荑	chgr
黄疆	chgt
苇	chha
共事	chhk
世面	chhp
勤恳	chig
萋	chin
芾	chja
恭维	chja
世纪	chjj
黄铜	chjk
黄钟	chjk
黄金	chjp
黄	chkb
颟	chkb
鄞	chke
苛	chkg
觐	chkg
燕	chkh
共同	chkh
散开	chkh
共青团	chkh
勤	chkl
共鸣	chkn
蔌	chkq
堇	chkt
茉	chma
世间	chmr
共存	choa
黄山	choa
散射	choc
恭喜	chod
世袭	chog
散布	choj
共有	chou
共振	chov
黄牛	chow
廾	chpa
黄昏	chpg
共和	chpm
黄瓜	chpp
蕤	chpt
昔	chra
昔日	chra
苤	chrh
世代	chrh
苹果	chrm
鹊	chrn
勤俭	chrr
蕙	chrx
黄海	chsf
黄河	chsh
散漫	chsr
黄土	chth
世界	chtr
菁	chtu
溥	chuc
莆	chud
共需	chuh
散	chuw
世	chwa
贳	chwb
散文	chwd
勤务	chwl
芽	chwp
散发	chwp
苣	chww
葬	chxc
共性	chxf
薤	chxh
世家	chxh
勤快	chxw
共计	chyo
燕子	chzw
萧	ci
萧	ciab
艾	cian
荨	cica
茛	cign
甘肃省	cixp
药	cj
芹	cjaa
芑	cjag
萜	cjak
荮	cjca
蕴藏	cjcv
药	cjdd
药房	cjdo
药方	cjfd
荭	cjga
莼	cjhg
药铺	cjjh
药品	cjkk
药材	cjmh
药物	cjnd
萸	cjra
蕴	cjrm
黄金时代	cjrr
药液	cjse
药水	cjsg
药厂	cjvh
药剂	cjwp
药性	cjxf
芟	cjya
英	ck
蒉	ckab
英寸	ckch
荆	ckda
英	ckda
茵	ckdh
荆州	ckdp
蒽	ckdx
葺	ckea
蕺	ckeg
茼	ckhk
英镑	ckje
苘	ckka
莒	ckka
颧	ckkb
萼	ckkg
茴	ckkh
鹳	ckkn
莴	ckkr
英国	ckkw
英姿	cklq
英尺	ckon
英雄	ckos
苋	ckpg
菌	ckph
芮	ckra
英俊	ckrs
英里	ckrt
英明	ckru
苴	cksa
苦口婆心	cksx
苒	ckta
英文	ckwd
英勇	ckwd
菌丝	ckww
英语	ckyh
苏	cl
蒋	clac
苏	clba
菩萨	clce
苏州	cldp
苏联	cleb
共产主义	cled
薪	clhj
菩	clka
茄	clka
荔	clll
荔枝	clmo
莘	cloa
苏丹	clpg
茨	clqa
薏	clrx
薪水	clsg
共产党员	clxk
共产党	clxt
苏醒	clyr
苯	cm
蔺	cmaa
苜	cmah
基本上	cmah
菘	cmbs
苯	cmha
菥	cmja
葙	cmma
基本原则	cmvb
茹	cn
茑	cnah
茱	cnba
苯鸟先飞	cnfg
茹	cnka
菇	cnok
薅	cnvc
若	co
苦战	coah
苦笑	coap
茬	coat
荐	coaz
蔷	cobh
蔚蓝	coca
葫芦	cocd
荸荠	cocw
苦干	coea
若干	coea
茏	cogd
苦痛	cogl
藏龙卧虎	coha
薹	coht
苦练	cojh
苦	coka
若	coka
茬口	coka
薜	coko
葫	coku
惹	cokx
苦闷	comx
荩	cond
蒜	cooa
蔚	cooc
菝	cood
若有所思	copt
若是	corh
荸	cotz
基础理论	cowy
苦心	coxd
苦恼	coxe
芰	coya
苦难	coya
茇	coyd
董	cp
蕃	cpbt
荞	cpda
藐	cpde
艽	cpga
芄	cpgd
茚	cpge
茆	cpge
芪	cpgg
蓖麻	cpgm
薰	cphh
董事	cphk
董	cpht
萎缩	cpjx
蓖	cpkb
共和国	cpkw
莉	cpmd
藜	cpmd
萎	cpmn
莠	cpmp
芊	cpoa
莪	cpod
莛	cpoz
荇	cprg
蘅	cprg
蓰	cprr
薇	cprw
蘖	cpwm
芨	cpwn
薛	cpwo
孽	cpwz
获	cq
芡	cqan
莽	cqca
获取	cqey
荻	cqha
获奖	cqla
莸	cqod
莽撞	cqol
获得	cqpr
获	cqqa
获胜	cquf
花	cr
莫非	cras
莜	craw
草料	crbm
花粉	crbm
苍白	crbp
花白	crbp
荷兰	crbs
苻	crca
莳	crca
萌芽	crch
草药	crcj
荷花	crcr
花草	crcr
花茶	crcr
苍茫	crcs
花期	crcs
莫	crda
花色	crdb
暮色	crdb
慕	crdd
苓	crdd
莫大	crdh
幕	crdj
募	crdl
蓦	crdm
摹	crdo
暮	crdr
草包	crds
墓	crdt
葛	crdw
芩	crdw
欺人之谈	crdy
花市	crej
荟	cres
草率	crew
荼	crex
蕞	crey
花生	crft
苍	crgg
草皮	crgp
花费	crgp
花序	crgw
荷	crhg
莶	crhh
莫不	crhr
蔹	crhw
茶	crhx
花朵	crjm
草帽	crjr
花纹	crjw
花圈	crkb
花园	crke
葆	crkm
茶叶	crko
荷叶	crko
草图	crkw
莅	crla
蓓	crlk
花瓣	crlo
花椒	crma
苍松	crmb
草棚	crmu
茶树	crmy
花样	crmy
草	croa
花卉	croc
草拟	crog
茌	croh
茶壶	croh
花布	croj
芥	crpa
蔓延	crpa
荏	crph
草稿	crpm
花	crqa
茯	crqa
苁	crra
菖	crra
草丛	crrr
茶水	crsg
蔓	crsy
草地	crtg
荷塘	crtg
草坪	crth
苍老	crtp
荷载	crtv
萌	crua
草鱼	crup
草原	crvb
苍蝇	crvk
荃	crwa
苍劲	crwd
草书	crwg
苍翠	crwl
萌发	crwp
草案	crxn
其	cs
藕	csad
葜	csad
萝卜	csad
基点	csah
基督	csah
藉	csar
其	csba
戡	csbg
斯	csbj
綦	csbj
勘	csbl
斟	csbo
欺	csbq
基	csbt
期	csbu
甚	csbw
菠菜	csca
蒙混过关	cscb
菠萝	cscs
茫茫	cscs
蒗	csdn
期刊	csea
基于	cseg
期望	cseg
其二	cseh
期限	csei
茫	csew
落选	csfa
茳	csga
范	csgg
薄弱	csgl
荡	csgp
菠	csgy
薄	cshc
蒲	cshd
菏	cshg
其一	cshh
蕖	cshm
萍	csho
甚至	cshs
基建	csie
基金	csjp
苔	cska
其中	cska
基因	cskd
范围	cskh
藻	cskm
落叶	csko
菹	csks
基准	csla
其次	cslq
欺骗	csmd
基本	csmh
期间	csmr
其间	csmr
基层	csoe
蔑视	csok
勘探	csot
基础	csow
薄片	cspa
蒎	cspn
落后	cspp
期待	cspr
甚么	csps
藩	cspt
其余	csre
欺侮	csrf
其他	csrg
范例	csrh
落伍	csrh
蓁	csrm
荡漾	cssb
勘测	cssb
期满	cssc
落水	cssg
薨	cstb
甍	cstd
基地	cstg
落地	cstg
瞢	cstm
薯	cstr
范畴	csts
薄膜	csuc
蔑	csvd
落成	csvg
欺压	csvt
落	cswk
萝	csxa
其它	csxb
落实	csxd
茫然	csxd
其实	csxd
落空	csxg
莎	csxp
斟酌	csyd
勘误	csyk
带	ct
苗	ct
营业	ctaa
芏	ctah
蒙受	ctat
营养	ctbs
菱	ctbw
劳苦	ctco
荣获	ctcq
荣誉	ctdb
营房	ctdo
蒙	cten
劳动	ctes
营造	ctfa
劳工	ctgh
茕	ctgo
荧	ctha
萤火	cthd
萦	ctja
蓥	ctja
营销	ctjx
营	ctkk
菱形	ctkp
劳	ctla
劳力	ctlg
劳驾	ctlk
荣	ctma
劳模	ctmc
著述	ctmd
荦	ctna
莺	ctna
鹋	ctna
蒙古	ctok
著称	ctpm
著	ctpr
蓍	ctpr
劳役	ctpr
莰	ctqa
蒙昧	ctre
著作	ctrf
劳保	ctrk
荥	ctsa
茔	ctta
荣幸	cttb
葑	cttc
劳累	cttj
著者	cttp
荤	ctva
萤	ctva
营长	ctvp
莹	ctwd
劳务	ctwl
葸	ctxa
荧光	ctxh
著名	ctxk
世界观	ctyk
藤	cu
藿	cuaa
藤	cubd
蓟	cuda
菔	cuey
薷	cuha
蕾	cuta
蒯	cuud
藓	cuya
藏	cv
茧	cvad
苌	cvan
蒇	cvbd
蕨	cvbq
莲花	cvcr
蓐	cvec
藏族	cvff
茂	cvgd
苊	cvgg
葳	cvhd
苈	cvla
藏身	cvop
茂盛	cvvg
藏	cvwd
藏书	cvwg
茂密	cvxd
莲	cvza
茎	cw
蔬	cwag
茁	cwao
蔬菜	cwca
葵花	cwcr
茅草	cwcr
蓣	cwdb
葵	cwdd
茎	cwdg
茅	cwdp
菡	cwga
苠	cwhg
葭	cwhy
茁壮	cwla
蓼	cwlp
蓬松	cwmb
茅屋	cwoh
蒸馏	cwop
蓬勃	cwot
荠	cwpa
蒸	cwsh
蒸汽	cwsq
蓬	cwsz
芗	cwwp
蒸发	cwwp
芯	cx
芯	cxad
茜	cxah
莫名其妙	cxcn
蔡	cxdo
莞	cxee
蔻	cxey
节外生枝	cxfm
苑	cxgg
苎	cxha
萱	cxhh
茗	cxka
蔽	cxkw
菪	cxoa
芯片	cxpa
蓿	cxrb
蓉	cxrk
蕈	cxro
菅	cxwh
菀	cxxg
蕊	cxxx
蘸	cy
蘸	cyah
蔼	cyrw
过	cz
过分	czbd
过道	czbh
过节	czcg
过期	czcs
过头	czdd
过	czdn
过于	czeg
过夜	czer
过失	czfd
过年	czfh
过敏	czfm
芤	czga
过度	czgc
过来	czhb
过火	czhd
过错	czjc
过路	czka
过问	czmk
过硬	czoh
过程	czpm
菰	czpn
过剩	czpo
过后	czpp
过时	czrc
过量	czrh
过人	czrp
过滤	czsa
过渡	czsg
过去	czts
过冬	czwd
荪	czxa
过少	czxp
的	d
良师益友	dabo
兴师动众	daer
刂	dag
大步流星	dasr
学	db
举止	dbaa
学业	dbaa
色彩	dbam
负数	dbbm
黉	dbcb
学艺	dbcg
举世	dbch
负荷	dbcr
学期	dbcs
争分夺秒	dbdp
兴奋	dbdt
大公无私	dbep
举动	dbes
触类旁通	dbew
学院	dbex
学年	dbfh
学制	dbfh
学生	dbft
学习	dbgl
学费	dbgp
学府	dbgr
兴	dbhb
举	dbho
兴致	dbhs
负责	dbht
色素	dbht
誉	dbhy
兴建	dbie
学风	dbji
学员	dbkb
举办	dblb
兴办	dblb
学术	dbmd
学校	dbme
学问	dbmk
负极	dbmp
学好	dbnz
学士	dboh
举手	dbop
负担	dbor
学社	dbot
负片	dbpa
负重	dbph
学科	dbpm
举行	dbpr
觉得	dbpr
学徒	dbpr
兴修	dbra
学时	dbrc
学会	dbre
负伤	dbrf
负电	dbrg
负债	dbrh
举例	dbrh
学位	dbrl
鹩	dbrn
兴旺	dbrw
学派	dbsp
色泽	dbsy
觉	dbtg
喾	dbtk
学者	dbtp
泶	dbts
鲎	dbtu
负载	dbtv
学	dbtz
兴盛	dbvg
学历	dbvl
负	dbwd
色	dbwg
觉悟	dbxh
色光	dbxh
学名	dbxk
学堂	dbxt
觉察	dbxx
学说	dbyb
学识	dbyk
色调	dbyp
觉醒	dbyr
兴趣	dbze
兴起	dbzj
夺	dc
夺取	dcey
为期不远	dche
夺回	dckk
夺目	dcma
举世闻名	dcmx
夺	dcnd
夺得	dcpr
丶	dd
太监	ddaa
头颅	ddah
忍受	ddat
头等	ddat
太爷	ddbi
头	ddd
太太	dddd
斗争	dddi
太阳	dder
大学生	ddft
勺	ddg
态度	ddgc
头痛	ddgl
太平	ddhb
头顶	ddhg
忍耐	ddhp
灸	ddhw
头巾	ddja
头绪	ddjt
头号	ddkh
头骨	ddkw
头部	ddlk
头目	ddma
太极	ddmp
太	ddn
斗	ddo
斗志	ddoh
刃	ddp
太后	ddpp
头衔	ddpr
太湖	ddso
头脑	ddue
太原	ddvb
头发	ddwp
太守	ddxc
忍心	ddxd
太空	ddxg
态	ddxn
忍	ddxp
勺子	ddzw
太子	ddzw
夸	de
兴高采烈	deah
夸大	dedh
刳	degd
夸	degn
瓠	degn
匏	degs
夸张	degv
夸口	deka
夸奖	dela
大规模	demc
耷	denh
耷拉	deol
太阳能	desu
夸耀	dexh
防	df
争先恐后	dfgp
大失所望	dfpe
解放军报	dfto
解放军	dftv
必	dg
必	dgdd
刀刃	dgdd
永久	dgdn
永远	dgee
刀锋	dgjw
刀口	dgka
永别	dgkl
刀具	dgks
必将	dgla
永磁	dgob
刀	dgp
刀片	dgpa
必须	dgpp
豇	dgth
必胜	dguf
必需	dguh
永	dgwn
昶	dgwr
必备	dgwt
必然	dgxd
必定	dgxh
永恒	dgxh
必要	dgxn
刀子	dgzw
大	dh
大步	dhaa
大业	dhaa
大卡	dhah
大叔	dhah
套筒	dhak
大师	dhap
套	dhas
豆	dhaw
大半	dhbe
大道	dhbh
大爷	dhbi
大米	dhbm
豆粒	dhbm
奇数	dhbm
大雁	dhbr
大败	dhbw
大举	dhdb
大兴	dhdb
大学	dhdb
大头	dhdd
大大	dhdh
大豆	dhdh
大象	dhdk
大干	dhea
大陆	dhee
大于	dheg
奇迹	dhep
大队	dher
大夫	dher
大专	dhew
大院	dhex
大选	dhfa
大方	dhfd
大年	dhfh
大庆	dhgd
大麻	dhgm
豆腐	dhgr
大臣	dhha
大肆	dhha
大火	dhhd
大炮	dhhd
大哥	dhhk
大事	dhhk
大致	dhhs
大麦	dhht
大衣	dhid
奁	dhiw
大凡	dhjd
大约	dhjd
大风	dhji
大纲	dhjk
大路	dhka
剞	dhkd
大型	dhkd
奇	dhkg
大同	dhkh
欹	dhkq
匐	dhkt
大将	dhla
豆浆	dhla
大力	dhlg
大部	dhlk
大意	dhlr
大楼	dhmb
大门	dhmd
大概	dhmi
大权	dhmy
大娘	dhnd
大嫂	dhnj
大姐	dhnk
大妈	dhnm
奇特	dhnt
大婶	dhnx
奇妙	dhnx
大好	dhnz
大批	dhob
豆饼	dhob
大鼓	dhod
大局	dhog
兴致勃勃	dhoo
大抵	dhop
大势	dhop
大有	dhou
豆科	dhpm
套种	dhpm
大	dhpn
大敌	dhpo
大街	dhpr
大气	dhqp
大修	dhra
大伯	dhrb
大会	dhre
大作	dhrf
大量	dhrh
大使	dhrh
大体	dhrm
大人	dhrp
大众	dhrr
奇异	dhsc
大汗	dhse
大海	dhsf
大江	dhsg
大水	dhsg
大河	dhsh
大洋	dhsy
太平洋	dhsy
大地	dhtg
大写	dhth
大军	dhtv
大块	dhtw
匍	dhud
举不胜举	dhud
大脑	dhue
大雨	dhuh
大腿	dhui
大雪	dhui
大胆	dhur
大车	dhvh
大厅	dhvh
奋不顾身	dhvo
大连	dhvz
大理	dhwr
大小	dhxg
大家	dhxh
大宗	dhxo
大多	dhxx
奇怪	dhxy
奇观	dhyk
豆子	dhzw
义	di
雏	diaw
煞白	dibp
鬯	didb
争夺	didc
急于	dieg
邹	diew
争取	diey
郎	dige
良	dign
朗	digu
争	digw
皱	digy
急救	dihg
急速	dihk
皱纹	dijw
急躁	dika
争鸣	dikn
雏形	dikp
争吵	dikx
争辩	dilo
争端	dilo
急骤	dime
义	din
匈奴	diny
良好	dinz
急剧	dioo
争执	diop
良种	dipm
急切	diqd
争气	diqp
急电	dirg
急促	dirk
急件	dirn
急流	dise
良田	dita
急需	diuh
匈	diwa
煞	diwh
刍	diwh
义务	diwl
良心	dixd
急忙	dixe
急性	dixf
义愤	dixo
急	dixw
争议	diyd
朗读	diyo
争论	diyr
朗诵	diyw
象	dk
召集	dkam
奂	dkdw
象限	dkei
邵	dkep
免除	dker
句	dkgh
勉强	dkgk
免疫	dkgl
免费	dkgp
召唤	dkkd
召开	dkkh
劬	dklg
象棋	dkmc
象样	dkmy
鸲	dkng
象山	dkoa
兔	dkpd
免	dkpg
召	dkph
勉	dkpl
免税	dkpm
象	dkpn
免得	dkpr
象征	dkpr
逸	dkpz
句法	dkst
勉励	dkvh
奇形怪状	dkxl
大同小异	dkxs
够	dkxx
象话	dkyp
迢	dkzp
句子	dkzw
兔子	dkzw
为止	dlaa
为此	dlab
大部分	dlbd
为首	dlbh
为数	dlbm
为期	dlcs
为	dld
为主	dlet
匀	dlgt
匀速	dlhk
夯	dlnp
匀称	dlpm
为何	dlrh
为人	dlrp
为了	dlwg
为名	dlxk
为难	dlya
为着	dlym
久	dn
久仰	dnrp
久	dnw
房	do
雇	doa
扉	doas
奔	docn
启蒙	doct
肩负	dodb
户头	dodd
肩头	dodd
戽	dodo
启动	does
扇动	does
房	dof
扇	dogl
扁平	dohb
大有可为	dohd
房东	dohw
启	dok
奔跑	doka
户口	doka
扈	dokb
扁	dokc
扃	dokk
翩	dokl
遍	dokz
房产	dolp
奔驰	domg
房间	domr
奈	dond
房屋	dooh
启示	dooh
遍布	dooj
扁担	door
户	dop
房租	dopm
遍及	dopw
戾	doq
大有作为	dord
雇佣	doru
奔流	dose
奔波	dosg
遍地	dotg
肩	dou
奔腾	doub
肩膀	doue
綮	dowj
肇	dowo
启发	dowp
豉	doyt
奔赴	doza
奔走	dozh
房子	dozw
扇子	dozw
州	dp
夼	dpaa
州	dpda
匆匆	dpdp
兴利除弊	dpex
勹	dpg
房租费	dpgp
忽而	dphp
忽视	dpok
匆	dppd
刎	dppd
勿	dppg
忽	dppx
匆促	dprk
忽略	dptw
忽然	dpxd
匆忙	dpxe
郇	dreg
鹌鹑	drek
旬	drgh
奄	drgn
鹌	drgn
龟	drgw
大显身手	droo
大使馆	drox
遍体鳞伤	drur
兴旺发达	drwd
包庇	dsbb
包头	dsdd
刨	dsdg
包干	dsea
包裹	dser
勾引	dsga
勾	dsgd
包	dsgg
包袱	dsir
勾结	dsjo
包围	dskh
包装	dsla
包办	dslb
包扎	dsog
包括	dsop
包含	dsrd
大洋洲	dssd
包车	dsvh
勾当	dsxi
奋	dt
奋战	dtah
奋斗	dtdd
牵制	dtfh
牵引	dtga
甸	dtgh
牵	dtnd
奋	dtnh
牵扯	dtoa
牵挂	dtot
奢	dtpr
牵伸	dtrr
奢侈	dtrx
牵涉	dtsa
奎	dttn
牵连	dtvz
奋勇	dtwd
奋发	dtwp
奋起	dtzj
解	du
觫	duab
觖	duad
觥	duae
解	duan
觚	duan
斛	duao
觯	duao
觞	duap
解答	duar
触	duav
蟹	duav
角	duaw
邂	duaz
解散	duch
角落	ducs
触觉	dudb
触角	dudu
解除	duer
触动	dues
解放	dufw
角度	dugc
解救	duhg
解开	dukh
解围	dukh
解冻	dulh
解剖	dulk
解决	dulw
解释	dupb
触及	dupw
触犯	duqg
触电	durg
解体	durm
解脱	duub
触发	duwp
解说	duyb
解调	duyp
詹	dvby
危急	dvdi
太原市	dvej
危险	dver
危亡	dvew
危	dvgg
危机	dvmj
危及	dvpw
危害	dvxs
之	dw
之上	dwah
之前	dwbh
之下	dwha
之一	dwhh
奋发图强	dwkg
之内	dwkr
之间	dwmr
之	dwn
之后	dwpp
之外	dwxa
奋勇当先	dwxf
大多数	dxbm
豌豆	dxdh
大西洋	dxsy
必然性	dxxf
必要性	dxxf
豌	dxxg
訇	dygh
奇谈怪论	dyxy
达	dz
达	dzdn
逗	dzhn
达到	dzhs
逗号	dzkh
急起直追	dzop
逗留	dzpg
达成	dzvg
而	e
变	ea
变频	eaaa
弯	eaag
銮	eaaj
骘	eaam
栾	eaam
娈	eaan
鸾	eaan
峦	eaao
挛	eaao
陟	eaap
耻笑	eaap
脔	eaar
恋爱	eaat
蛮	eaav
恋	eaax
变	eaay
孪	eaaz
未	eabh
未遂	eabh
未曾	eabk
干粮	eabm
嫠	eabn
变色	eadb
变态	eadd
未必	eadg
卞	eadh
刊	eadh
未免	eadk
变为	eadl
除此之外	eadx
邗	eaeh
高等院校	eaem
变动	eaes
未知	eafd
专业知识	eafy
武	eagd
变革	eagh
鹉	eagn
干	eah
顸	eahb
未来	eahb
阽	eahk
变速	eahk
干事	eahk
干燥	eahk
未可	eahk
变更	eahr
干线	eaje
未经	eajw
弯路	eaka
弯曲	eakc
武器	eakk
干吗	eakm
变形	eakp
武装	eala
干净	eald
武力	ealg
干部	ealk
商业部	ealk
蛮横	eamc
武术	eamd
干杯	eamh
变相	eamm
干枯	eamo
刊物	eand
变换	eaod
变故	eaok
干扰	eaoo
变种	eapm
变迁	eapo
变质	eapp
干旱	eare
变量	earh
专业人员	eark
变化	earq
专业化	earq
武昌	earr
干涉	easa
变异	easc
干涸	eask
干活	easp
变法	east
未能	easu
武汉	easy
耻	eath
刊载	eatv
干脆	eaud
耻辱	eave
变成	eavg
干劲	eawd
干预	eawd
刊登	eawd
未尝	eaxt
专业对口	eayk
六	eb
商业	ebaa
交点	ebah
交战	ebah
商船	ebaj
交售	ebak
隧道	ebbh
效益	ebbh
聪颖	ebbp
陛	ebbt
联营	ebct
效劳	ebct
联大	ebdh
胖	ebea
联防	ebef
交际	ebeo
联	eber
交替	eber
效率	ebew
商店	ebga
效应	ebgd
陛下	ebha
六	ebhd
郊区	ebhi
交融	ebhk
隘	ebhm
交还	ebhr
隧	ebhz
郊	ebie
交	ebih
效	ebiw
交错	ebjc
交纳	ebjk
交织	ebjk
联结	ebjo
联络	ebjw
联锁	ebjx
旁听	ebkj
商	ebkk
商品	ebkk
帝国	ebkw
聪	ebkx
效力	eblg
交加	eblk
旁边	eblz
联想	ebmm
商标	ebmo
商榷	ebmt
交换	ebod
交接	ebol
联接	ebol
联系	ebpj
陴	ebpo
交往	ebpr
隗	ebps
交付	ebrc
交易	ebrd
商会	ebre
效仿	ebrf
交代	ebrh
联合	ebrh
商量	ebrh
效果	ebrm
聚精会神	ebro
旁人	ebrp
商人	ebrp
交货	ebrq
联盟	ebru
聪明	ebru
聪慧	ebsa
交涉	ebsa
兖	ebse
交流	ebse
衮	ebsi
联邦	ebsp
效法	ebst
效能	ebsu
旁	ebtf
商场	ebtg
帝	ebtj
啻	ebtk
交界	ebtr
联军	ebtv
效用	ebua
六月	ebup
隍	ebwa
交出	ebwa
交通	ebwd
帝王	ebwh
商务	ebwl
郊外	ebxa
交情	ebxh
商定	ebxh
联名	ebxk
商讨	ebyc
交叉	ebyd
商议	ebyd
交差	ebyg
交谈	ebyh
商谈	ebyh
交配	ebyj
旁观	ebyk
联欢	ebyq
胖子	ebzw
旁若无人	ecer
隐	ed
陷落	edcs
隐藏	edcv
隐蔽	edcx
陷于	edeg
陶	edfa
亠	edh
取之不尽	edho
隐	edix
陷	edja
隐约	edjd
陶器	edkk
隐患	edkk
陶瓷	edlq
隐瞒	edmc
陷入	edpn
陷害	edxs
陶醉	edye
元	ee
远航	eeae
元首	eebh
毫无疑问	eebm
远大	eedh
阮	eeea
远远	eeee
远方	eefd
元年	eefh
二进制	eefh
顽强	eegk
顽皮	eegp
顽	eehb
元	eehg
元素	eeht
远东	eehw
隐隐约约	eejj
陆续	eejo
远近	eejz
运动员	eekb
鼋	eekg
顽固	eeko
远见	eekp
陆	eeoa
远在	eeoa
顽抗	eeoe
远古	eeok
元朝	eeor
阱	eepa
远行	eepr
远景	eere
元旦	eerh
元件	eern
元帅	eesp
远洋	eesy
耶	eeta
陆地	eetg
陆军	eetv
元月	eeup
陔	eewr
元宵	eexx
陬	eeya
远	eezh
防止	efaa
阼	efae
防	efag
防范	efcs
防卫	efga
防火	efhd
防毒	efht
防线	efje
防风	efji
防护	efod
防御	efpr
防水	efsg
防汛	efsg
防潮	efso
防治	efss
防务	efwl
防备	efwt
防守	efxc
于	eg
卩	ega
阝	ega
亏	egh
于	egh
亍	egh
夜以继日	egjr
迂回	egkk
盂	egmh
亏损	egok
戋	egpd
盏	egpm
亏待	egpr
陂	egpy
于今	egrd
于是	egrh
望	eguw
迂	egzh
二	eh
耳	ehaa
进一步	ehaa
陈旧	ehar
二等	ehat
无可非议	ehay
陌	ehba
陕	ehbd
隔断	ehbm
二黄	ehch
无可奈何	ehdr
阢	ehea
二元	ehee
隔离	ehei
陈迹	ehep
陌生	ehft
望而生畏	ehft
陈腐	ehgr
耵	ehgt
二	ehh
陈列	ehhx
隔绝	ehjd
耳朵	ehjm
隔	ehka
阿	ehkg
隔开	ehkh
陋	ehkw
耳目	ehma
陈述	ehmd
隔阂	ehme
耳机	ehmj
阿姨	ehnh
隔壁	ehok
隔热	ehop
取而代之	ehrd
阿曼	ehrs
无可奉告	ehsf
耿	ehtn
二者	ehtp
二月	ehup
陈	ehwx
耳光	ehxh
陕西	ehxh
刻不容缓	ehxj
耳语	ehyh
陈设	ehyj
离	ei
离散	eich
限期	eics
离解	eidu
限于	eieg
天衣无缝	eiej
离职	eiek
限制	eifh
限度	eigc
限	eign
离开	eikh
离别	eikl
离婚	einp
离休	eirm
离	eiws
离心	eixd
限定	eixh
限额	eixw
离子	eizw
市	ej
市郊	ejeb
无缘无故	ejeo
市	ejha
市政	ejha
颃	ejhb
联绵不断	ejhb
亢	ejhg
市区	ejhi
市面	ejhp
裒	ejih
市镇	ejjo
市内	ejkr
市委	ejpm
无线电	ejrg
市场	ejtg
市长	ejvp
市民	ejwh
市容	ejxr
高	ek
高频	ekaa
就业	ekaa
职业	ekaa
阻止	ekaa
聩	ekab
就此	ekab
衷	ekai
就算	ekam
京师	ekap
高龄	ekar
高等	ekat
享受	ekat
陨	ekba
毫米	ekbm
职	ekbt
衰落	ekcs
高举	ekdb
高兴	ekdb
高大	ekdh
衰变	ekea
高效	ekeb
高于	ekeg
高亢	ekej
高高	ekek
就职	ekek
阻击	ekeo
襄阳	eker
颤动	ekes
高矮	ekfd
高度	ekgc
亮度	ekgc
职工	ekgh
豪强	ekgk
哀痛	ekgl
熟习	ekgl
衰弱	ekgl
高炉	ekhd
哀求	ekhg
衰	ekhi
高速	ekhk
豪迈	ekhp
毫不	ekhr
职责	ekht
高雅	ekhw
衰退	ekig
哀	ekih
熟练	ekjh
高级	ekjp
豪绅	ekjr
就绪	ekjt
就近	ekjz
高贵	ekka
高中	ekka
颤	ekkb
职员	ekkb
襄	ekki
高	ekkk
职别	ekkl
瓤	ekkn
禀	ekko
高呼	ekkp
高见	ekkp
高喊	ekkv
敲	ekky
阻力	eklg
高产	eklp
颤音	eklr
衰减	eklv
高档	ekmx
敲榨	ekmx
职权	ekmy
高山	ekoa
阻拦	ekob
颤抖	ekod
阻抗	ekoe
聘	ekog
高声	ekoh
敲打	ekoh
陨石	ekoh
阻挠	ekoh
毫克	ekok
京胡	ekok
京剧	ekoo
阻碍	ekor
享有	ekou
高峰	ekow
阻挡	ekox
熟悉	ekpb
毫升	ekpc
哀愁	ekpm
高利	ekpm
职称	ekpm
哀乐	ekpw
享乐	ekpw
哀伤	ekrf
高傲	ekrh
就是	ekrh
职位	ekrl
阻值	ekro
高昂	ekrp
高低	ekrp
就任	ekrp
聘任	ekrp
豪华	ekrq
高价	ekrr
高耸	ekrr
高明	ekru
阻	eksa
高粱	eksd
高涨	eksg
高潮	ekso
高温	eksr
高深	ekst
